authfull,inst_name,cntry,np6021,firstyr,lastyr,rank (ns),nc9621 (ns),h21 (ns),hm21 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6021 cited9621 (ns),self%,rank,nc9621,h21,hm21,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6021 cited9621,np6021_d,nc9621_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Medda, Francesca",QASER Laboratory,afg,80,1998,2022,280798,931,15,8.833333333,3,297,36,499,69,814,3.009462484,887,1.049605411,50,0.051,316276,981,15,9.166666667,3,301,36,513,69,843,3.014201265,929,1.055974166,51,0,19,Logistics & Transportation,0.175,Urban & Regional Planning,0.075,Economics & Business,0.45,549,485,24981
"Gugnani, Harish C.",Saint James School of Medicine,aia,220,1964,2021,54406,37060,42,14.60240183,12,312,69,1018,116,1327,3.666093135,33570,1.103961871,189,0.1438,60478,43285,43,14.77065078,12,319,69,1094,116,1437,3.682404754,37268,1.161452184,192,0,316,Microbiology,0.472727273,General & Internal Medicine,0.231818182,Biomedical Research,0.513636364,1509,1379,175943
"Hamid, Qutayba",College of Medicine,are,572,1985,2022,5620,44648,105,38.95847401,11,138,44,3833,301,20851,4.296528842,32245,1.384648783,531,0.139,5540,51858,112,40.96680734,11,145,44,4369,301,23397,4.333276604,35712,1.452116935,536,0,315,Allergy,0.351398601,Respiratory System,0.22027972,Clinical Medicine,0.93006993,19,19,16475
"Bernstein, Joel",NYU Abu Dhabi,are,160,1964,2020,6975,18209,34,22.82083333,17,2802,45,11801,96,16919,4.247240972,14187,1.283498978,149,0.0244,8029,18665,36,23.27083333,17,2843,45,11939,96,17252,4.249713762,14362,1.299610082,151,0,38,Inorganic & Nuclear Chemistry,0.30625,Organic Chemistry,0.20625,Chemistry,0.69375,52,39,70192
"Antony, Jiju",Khalifa University of Science and Technology,are,328,1995,2022,7154,10831,54,37.55,35,2324,116,4831,229,7911,4.240040742,6319,1.714037031,277,0.1066,7253,12123,57,39.5,35,2513,116,5397,229,8818,4.273792368,6638,1.826303103,287,0,563,Business & Management,0.594512195,Operations Research,0.115853659,Economics & Business,0.664634146,44,51,48100
"Shin, Donghee",Zayed University,are,239,1987,2022,10962,6118,41,34.66666667,82,3252,148,4819,217,5794,4.134971462,5110,1.197260274,217,0.111,10463,6882,44,38,82,3675,148,5448,217,6505,4.186160069,5330,1.291181989,222,9,296,Information Systems,0.19665272,Human Factors,0.112970711,Information & Communication Technologies,0.338912134,12,20,17301
"Olabi, A. G.",University of Sharjah,are,388,1993,2022,17054,10682,59,30.70039683,14,478,55,2041,298,8435,4.016903883,8354,1.278668901,287,0.2032,13693,13406,68,34.75396825,14,585,55,2509,298,10752,4.118500927,8814,1.520989335,310,14,282,Energy,0.358247423,Materials,0.115979381,Enabling & Strategic Technologies,0.74742268,127,160,265592
"Davis, Dave",Mohammed Bin Rashid University of Medicine and Health Sciences,are,157,1977,2022,20288,17099,41,16.24349401,20,371,53,8654,87,9654,3.968797168,12280,1.39242671,133,0.034,23363,17700,43,16.72127178,20,374,53,8799,87,9924,3.973348062,12594,1.405431158,139,0,111,General & Internal Medicine,0.394904459,Medical Informatics,0.210191083,Clinical Medicine,0.598726115,312,293,311132
"Jamali, Dima",College of Business Administration,are,120,2000,2022,23272,5325,34,23.16666667,16,1517,80,4507,105,5006,3.929629181,4170,1.276978417,99,0.061,25376,5671,36,24.33333333,16,1578,80,4770,105,5325,3.95031737,4296,1.320065177,101,0,185,Business & Management,0.347457627,Applied Ethics,0.152542373,Economics & Business,0.56779661,185,203,48100
"Allen, Robert C.",NYU Abu Dhabi,are,60,1977,2022,26544,3518,28,25.36666667,49,2986,60,3518,60,3518,3.890991305,2634,1.335611238,56,0.0388,31605,3660,28,25.36666667,49,3070,60,3660,60,3660,3.886393922,2683,1.364144614,56,0,10,History of Social Sciences,0.586206897,Economics,0.120689655,Historical Studies,0.724137931,5,5,2077
